"Tarih","PM10 ( µg/m³ )","SO2 ( µg/m³ )","NO2 ( µg/m³ )","NOX ( µg/m³ )","NO ( µg/m³ )","O3 ( µg/m³ )"
"2020-05-15 00:00:56","41.6","4.2","22.0","25.9","3.9","30.3"
"2020-05-14 00:00:56","41.8","4.0","22.0","25.9","3.9","61.7"
"2020-05-13 00:00:56","38.9","5.0","22.0","25.9","3.9","60.3"
"2020-05-12 00:00:56","38.9","4.3","22.0","25.9","3.9","35.4"
"2020-05-11 00:00:56","17.3","4.1","22.0","25.9","3.9","42.0"
"2020-05-10 00:00:56","14.4","4.0","22.0","25.9","3.9","50.7"
"2020-05-09 00:00:56","10.2","4.0","22.0","25.9","3.9","57.2"
"2020-05-08 00:00:56","19.5","4.2","22.0","25.9","3.9","65.0"
"2020-05-07 00:00:56","14.5","4.3","22.0","25.9","3.9","52.7"
"2020-05-06 00:00:56","13.9","4.4","22.0","25.9","3.9","47.9"
"2020-05-05 00:00:56","24.4","4.4","22.0","25.9","3.9","41.2"
"2020-05-04 00:00:56","24.1","4.3","22.0","25.9","3.9","27.4"
"2020-05-03 00:00:56","32.9","4.3","22.0","25.9","3.9","36.7"
"2020-05-02 00:00:56","43.2","4.3","22.0","25.9","3.9","53.6"
"2020-05-01 00:00:56","36.2","4.5","22.0","25.9","3.9","38.0"
"2020-04-30 00:00:56","43.9","4.3","22.0","25.9","3.9","38.9"
"2020-04-29 00:00:56","28.0","4.1","22.0","25.9","3.9","47.5"
"2020-04-28 00:00:56","26.3","4.1","22.0","25.9","3.9","59.1"
"2020-04-27 00:00:56","28.6","4.5","22.0","25.9","3.9","49.0"
"2020-04-26 00:00:56","29.9","4.4","22.0","25.9","3.9","45.8"
"2020-04-25 00:00:56","23.3","4.4","22.0","25.9","3.9","51.3"
"2020-04-24 00:00:56","22.1","4.2","22.0","25.9","3.9","55.4"
"2020-04-23 00:00:56","19.2","4.5","22.0","25.9","3.9","54.9"
"2020-04-22 00:00:56","26.4","4.1","18.2","19.8","1.6","54.0"
"2020-04-21 00:00:56","31.3","4.3","14.5","16.2","1.7","54.2"
"2020-04-20 00:00:56","45.1","4.7","34.0","42.3","8.4","30.4"
"2020-04-19 00:00:56","44.3","4.2","17.5","20.9","3.4","30.3"
"2020-04-18 00:00:56","40.0","4.4","18.1","21.8","3.7","30.9"
"2020-04-17 00:00:56","21.7","4.2","14.7","17.9","3.3","37.0"
"2020-04-16 00:00:56","22.0","4.1","14.9","17.0","2.2","51.8"
"2020-04-15 00:00:56","46.6","5.0","28.7","41.3","12.6","45.8"
"2020-04-14 00:00:56","48.5","4.8","30.2","37.5","7.4","27.2"
"2020-04-13 00:00:56","25.0","4.1","15.6","19.0","3.4","40.5"
"2020-04-12 00:00:56","33.5","4.2","14.3","16.4","2.0","50.7"
"2020-04-11 00:00:56","30.4","4.4","18.5","21.5","3.1","41.7"
"2020-04-10 00:00:56","25.4","4.1","15.2","17.7","2.5","41.4"
"2020-04-09 00:00:56","28.2","4.2","14.7","16.7","2.0","46.6"
"2020-04-08 00:00:56","34.0","4.4","15.6","17.8","2.3","37.6"
"2020-04-07 00:00:56","32.2","4.2","15.1","17.5","2.5","48.3"
"2020-04-06 00:00:56","40.6","4.3","18.7","20.7","2.0","42.1"
"2020-04-05 00:00:56","35.6","4.4","18.3","21.1","2.8","30.6"
"2020-04-04 00:00:56","17.8","4.1","13.1","15.5","2.4","48.0"
"2020-04-03 00:00:56","34.6","4.6","20.6","23.9","3.3","29.1"
"2020-04-02 00:00:56","36.2","4.7","16.1","18.0","1.9","48.8"
"2020-04-01 00:00:56","65.7","5.3","20.9","24.5","3.6","47.0"
"2020-03-31 00:00:56","52.4","5.2","25.1","31.0","5.9","49.5"
"2020-03-30 00:00:56","14.9","4.3","18.5","21.0","2.5","40.6"
"2020-03-29 00:00:56","16.7","4.3","15.4","17.0","1.6","40.5"
"2020-03-28 00:00:56","41.9","4.4","17.0","19.1","2.0","31.0"
"2020-03-27 00:00:56","29.2","4.3","19.9","24.0","4.1","25.6"
"2020-03-26 00:00:56","17.1","4.4","17.3","19.9","2.5","33.1"
"2020-03-25 00:00:56","39.1","4.5","23.0","26.4","3.3","31.6"
"2020-03-24 00:00:56","35.6","4.5","23.6","27.3","3.7","39.5"
"2020-03-23 00:00:56","31.0","4.7","34.7","45.8","11.5","26.3"
"2020-03-22 00:00:56","31.0","5.4","27.4","33.7","6.3","15.2"
"2020-03-21 00:00:56","31.0","5.5","25.0","29.2","4.3","18.6"
"2020-03-20 00:00:56","31.0","5.1","27.1","31.8","4.6","20.9"
"2020-03-19 00:00:56","31.0","5.0","29.4","33.8","4.4","22.0"
"2020-03-18 00:00:56","31.0","5.0","28.8","32.4","3.6","22.8"
"2020-03-17 00:00:56","31.0","4.9","26.4","29.6","3.3","26.7"
"2020-03-16 00:00:56","31.0","4.6","25.3","28.3","3.0","28.5"
"2020-03-15 00:00:56","31.0","5.1","27.2","30.0","2.8","27.7"
"2020-03-14 00:00:56","31.0","5.8","34.6","39.3","4.7","14.6"
"2020-03-13 00:00:56","31.0","5.8","36.9","43.7","6.8","13.9"
"2020-03-12 00:00:56","31.0","5.8","32.0","37.8","5.8","17.2"
